Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
UROC1	FLJ31300, HMFN0320	ENSG00000159650	Urocanate hydratase 1	3	126200124-126236616	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036253, HPA036254	Uncertain			Tissue enriched	265	liver: 41.6	fallopian tube: 0.2
TSSK1B	FKSG81, SPOGA4, STK22D, TSSK1	ENSG00000212122	Testis-specific serine kinase 1B	5	112768251-112770728	Enzymes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA027827	Supportive			Tissue enriched	264	testis: 26.4	duodenum: 0.1
CSH1	CSA, CSMT, FLJ75407, hCS-A, PL	ENSG00000136488	Chorionic somatomammotropin hormone 1 (placental lactogen)	17	61972275-61974021	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level		Evidence at protein level	CAB026374, HPA043715	Supportive	Uncertain		Tissue enriched	260	placenta: 8705.6	smooth muscle: 33.5
INSL4	EPIL	ENSG00000120211	Insulin-like 4 (placenta)	9	5231419-5235304	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	260	placenta: 26.0	smooth muscle: 0.1
FTMT	MtF	ENSG00000181867	Ferritin mitochondrial	5	121187650-121188519	Enzymes, Mitochondrial proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA043650	Uncertain			Tissue enriched	259	testis: 25.9	adipose tissue: 0.0
TXNDC2	SPTRX1	ENSG00000168454	Thioredoxin domain containing 2 (spermatozoa)	18	9885763-9889272	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016414, HPA018817	Supportive	Supportive	Nucleus, Cytoplasm	Tissue enriched	258	testis: 69.6	appendix: 0.3
C17orf64		ENSG00000141371	Chromosome 17 open reading frame 64	17	58469790-58508782		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA044415	Uncertain			Tissue enriched	256	testis: 84.0	adipose tissue: 0.3
RBPJL	RBP-L, RBPSUHL, SUH, SUHL	ENSG00000124232	Recombination signal binding protein for immunoglobulin kappa J region-like	20	43935491-43945803	Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB006846	Supportive			Tissue enriched	256	pancreas: 311.5	stomach: 1.2
SCP2D1	C20orf79, dJ1068E13.2, HSD22	ENSG00000132631	SCP2 sterol-binding domain containing 1	20	18794370-18795033		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA040931, HPA054686	Uncertain			Tissue enriched	256	testis: 25.6	adipose tissue: 0.0
TKTL2	DKFZP434L1717, FLJ32975	ENSG00000151005	Transketolase-like 2	4	164392257-164395047	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA043797	Uncertain			Tissue enriched	256	testis: 50.4	spleen: 0.2
C12orf50	FLJ35821	ENSG00000165805	Chromosome 12 open reading frame 50	12	88373816-88427814		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA040069	Uncertain			Tissue enriched	255	testis: 44.6	duodenum: 0.2
DEFA3	DEF3, HNP-3	ENSG00000239839	Defensin, alpha 3, neutrophil-specific	8	6873391-6875823	Cancer-related genes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA052517	Uncertain			Tissue enriched	255	bone marrow: 14362.3	spleen: 56.3
CCER1	C12orf12, MGC26598	ENSG00000197651	Coiled-coil glutamate-rich protein 1	12	91299399-91348953		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	253	testis: 25.3	adipose tissue: 0.0
FSCB	C14orf155, DKFZP434F1017	ENSG00000189139	Fibrous sheath CABYR binding protein	14	44973545-44976482		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA003546	Uncertain			Tissue enriched	253	testis: 25.3	adipose tissue: 0.0
CALR3	CRT2, CT93, FLJ25355, MGC26577	ENSG00000269058	Calreticulin 3	19	16589868-16607003	Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025749, HPA043355, HPA048460	Supportive			Tissue enriched	248	testis: 51.8	fallopian tube: 0.2
TBC1D21	MGC34741, MgcRabGAP	ENSG00000167139	TBC1 domain family, member 21	15	74165949-74181555	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA043319	Uncertain			Tissue enriched	247	testis: 24.7	adipose tissue: 0.0
LRRC10	HRLRRP, LRRC10A	ENSG00000198812	Leucine rich repeat containing 10	12	70002351-70004942	Cytoskeleton related proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA040117, HPA040159	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enriched	246	heart muscle: 27.2	testis: 0.1
OOSP2	FLJ36198, PLAC1L, TMEM122	ENSG00000149507	Oocyte secreted protein 2	11	59807748-59815517	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA050914	Supportive			Tissue enriched	246	testis: 24.6	adipose tissue: 0.0
ITIH2	H2P	ENSG00000151655	Inter-alpha-trypsin inhibitor heavy chain 2	10	7745232-7791483	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA059150	Uncertain	Uncertain	Golgi apparatus	Tissue enriched	244	liver: 778.0	cerebral cortex: 3.2
RBMXL2	HNRNPG-T, HNRPGT	ENSG00000170748	RNA binding motif protein, X-linked-like 2	11	7110165-7112379	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038912, HPA051842	Supportive			Tissue enriched	244	testis: 24.4	kidney: 0.1
SLC22A10	hOAT5, OAT5	ENSG00000184999	Solute carrier family 22, member 10	11	62905339-63137190	Predicted membrane proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	244	liver: 74.3	salivary gland: 0.3
FAM71F1	FAM137A, NYD-SP18	ENSG00000135248	Family with sequence similarity 71, member F1	7	128349115-128371797		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA020636, HPA021409	Supportive	Uncertain	Cytoplasm	Tissue enriched	243	testis: 61.7	fallopian tube: 0.3
SEPT12	FLJ25410	ENSG00000140623	Septin 12	16	4827670-4838522	Cancer-related genes, Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA041128	Uncertain	Uncertain	Cytoskeleton (Microtubules)	Tissue enriched	243	testis: 78.4	bone marrow: 0.3
PRSS37		ENSG00000165076	Protease, serine, 37	7	141536086-141541287	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA020541	Uncertain			Tissue enriched	242	testis: 25.6	endometrium: 0.1
ADAM30	svph4	ENSG00000134249	ADAM metallopeptidase domain 30	1	120436156-120439118	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA026080	Uncertain			Tissue enriched	241	testis: 24.1	adipose tissue: 0.0
TNP2	TP2	ENSG00000178279	Transition protein 2 (during histone to protamine replacement)	16	11361605-11363390		Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	241	testis: 24.1	adipose tissue: 0.0
SERPIND1	D22S673, HC-II, HC2, HCF2, HLS2	ENSG00000099937	Serpin peptidase inhibitor, clade D (heparin cofactor), member 1	22	21128167-21142008	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB008639, HPA055767	Supportive			Tissue enriched	240	liver: 494.1	placenta: 2.1
PRSS57	PRSSL1, UNQ782	ENSG00000185198	Protease, serine, 57	19	685521-695460	Enzymes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA005894	Uncertain			Tissue enriched	238	bone marrow: 79.4	spleen: 0.3
SIGLECL1	C19orf75, FLJ40235, SIGLEC23P, SIGLECP7	ENSG00000179213	SIGLEC family like 1	19	51749603-51772584	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA041577, HPA046789	Uncertain			Tissue enriched	236	testis: 23.6	adipose tissue: 0.0
SPANXB2		ENSG00000227234	SPANX family, member B2	X	140084756-140085871		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA046423	Uncertain			Tissue enriched	233	testis: 23.3	kidney: 0.1
TSPAN16	TM-8, TM4-B, TM4SF16	ENSG00000130167	Tetraspanin 16	19	11406824-11437672	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA041579	Uncertain			Tissue enriched	233	testis: 67.6	bone marrow: 0.3
CABS1	C4orf35, CLPH, FLJ32897, NYD-SP26	ENSG00000145309	Calcium-binding protein, spermatid-specific 1	4	71200683-71202833	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA044016, HPA055352	Supportive			Tissue enriched	232	testis: 68.2	salivary gland: 0.3
SPANXB1	CT11.2	ENSG00000235604	SPANX family, member B1	X	140096761-140097876		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA046423	Uncertain			Tissue enriched	231	testis: 23.1	kidney: 0.1
PRR4	LPRP, PROL4	ENSG00000111215	Proline rich 4 (lacrimal)	12	10977559-11324212	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042133	Supportive	Uncertain	Cytoplasm, Vesicles	Tissue enriched	230	salivary gland: 53738.5	stomach: 233.5
VCY1B	BPY1B	ENSG00000129862	Variable charge, Y-linked 1B	Y	16168097-16168838		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA044996, HPA049357	Supportive			Tissue enriched	229	testis: 22.9	adipose tissue: 0.0
C6orf10	TSBP	ENSG00000204296	Chromosome 6 open reading frame 10	6	32256303-32339684	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	228	testis: 22.8	lymph node: 0.1
PRM3		ENSG00000178257	Protamine 3	16	11367144-11367452		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA044152	Uncertain			Tissue enriched	228	testis: 32.9	endometrium: 0.1
C7orf62	MGC26647	ENSG00000164645	Chromosome 7 open reading frame 62	7	88423420-88425035		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA023817, HPA024163	Uncertain	Uncertain	Nucleus but not nucleoli, Mitochondria	Tissue enriched	227	testis: 22.7	adipose tissue: 0.0
DCAF4L2	WDR21C	ENSG00000176566	DDB1 and CUL4 associated factor 4-like 2	8	88882973-88886296	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA067584	Uncertain			Tissue enriched	226	testis: 22.6	adipose tissue: 0.0
VCY	BPY1, VCY1, VCY1A	ENSG00000129864	Variable charge, Y-linked	Y	16097652-16098393		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA044996, HPA049357	Supportive			Tissue enriched	226	testis: 22.6	adipose tissue: 0.0
PLA2G1B	PLA2, PLA2A, PPLA2	ENSG00000170890	Phospholipase A2, group IB (pancreas)	12	120759914-120765592	Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA047822, HPA060803	Supportive			Tissue enriched	222	pancreas: 13646.6	ovary: 61.4
PRSS54	CT67, FLJ25339, KLKBL4	ENSG00000103023	Protease, serine, 54	16	58313901-58328951	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA040750, HPA041549	Supportive	Supportive	Cytoplasm	Tissue enriched	222	testis: 32.1	cerebral cortex: 0.1
RHOXF2	CT107, PEPP-2, PEPP2, THG1	ENSG00000131721	Rhox homeobox family, member 2	X	119292467-119297945	Protein evidence (Ezkurdia et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003314, CAB020794	Supportive			Tissue enriched	222	testis: 22.2	ovary: 0.1
C10orf120	bA318C4.1	ENSG00000183559	Chromosome 10 open reading frame 120	10	124457225-124459338		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA038676	Uncertain			Tissue enriched	221	testis: 22.1	stomach: 0.1
GH2	GH-V, GHL, GHV, hGH-V	ENSG00000136487	Growth hormone 2	17	61957578-61959295	Cancer-related genes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA043715	Uncertain			Tissue enriched	221	placenta: 138.3	smooth muscle: 0.6
FAM205A	C9orf144B	ENSG00000205108	Family with sequence similarity 205, member A	9	34723052-34729464	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA021586, HPA024016, HPA043363	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm, Golgi apparatus	Tissue enriched	220	testis: 22.0	skin: 0.1
MAGEC2	CT10, MAGE-C2, MAGEE1	ENSG00000046774	Melanoma antigen family C, 2	X	141290131-141293076	Cancer-related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA062230	Supportive			Tissue enriched	219	testis: 21.9	liver: 0.1
RNASE11	C14orf6	ENSG00000173464	Ribonuclease, RNase A family, 11 (non-active)	14	21051054-21078043	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA003724	Uncertain			Tissue enriched	219	testis: 45.2	small intestine: 0.2
TMPRSS12	MGC57341	ENSG00000186452	Transmembrane (C-terminal) protease, serine 12	12	51236703-51281667	Enzymes, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA015571	Uncertain			Tissue enriched	218	testis: 21.8	placenta: 0.1
SLC22A1	OCT1	ENSG00000175003	Solute carrier family 22 (organic cation transporter), member 1	6	160542821-160579750	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA029846	Uncertain			Tissue enriched	217	liver: 315.0	kidney: 1.5
C3orf22	MGC34728	ENSG00000180697	Chromosome 3 open reading frame 22	3	126245842-126277808		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA059199	Supportive			Tissue enriched	216	testis: 21.6	cerebral cortex: 0.1
IZUMO2	C19orf41, MGC33947, SCRL	ENSG00000161652	IZUMO family member 2	19	50655805-50666452	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA042143, HPA042195	Supportive			Tissue enriched	214	testis: 28.7	skin: 0.1
SPZ1	FLJ25709, NYD-TSP1	ENSG00000164299	Spermatogenic leucine zipper 1	5	79615444-79617661	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA037798	Uncertain			Tissue enriched	214	testis: 21.4	prostate: 0.1
TSPYL6		ENSG00000178021	TSPY-like 6	2	54480315-54483409	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA034699, HPA034700	Supportive	Uncertain	Cytoplasm, Nucleoli, Centrosome	Tissue enriched	214	testis: 21.4	adipose tissue: 0.0
PRSS1	TRY1	ENSG00000204983	Protease, serine, 1 (trypsin 1)	7	142457319-142460923	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025487, CAB025538, HPA062452, HPA063471	Supportive	Uncertain		Tissue enriched	209	pancreas: 64655.1	ovary: 310.1
SUN5	dJ726C3.1, SPAG4L, TSARG4	ENSG00000167098	Sad1 and UNC84 domain containing 5	20	31571579-31592239	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA048529	Supportive			Tissue enriched	209	testis: 20.9	adipose tissue: 0.0
SPANXC	CT11.3, CTp11	ENSG00000198573	SPANX family, member C	X	140335596-140336629		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA046423	Uncertain			Tissue enriched	207	testis: 24.3	tonsil: 0.1
LCE1F	LEP6	ENSG00000240386	Late cornified envelope 1F	1	152748848-152749445		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	206	skin: 113.0	skeletal muscle: 0.5
TCP11	D6S230E, FPPR, KIAA0229	ENSG00000124678	T-complex 11, testis-specific	6	35085848-35116387	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA048311	Uncertain			Tissue enriched	203	testis: 316.7	fallopian tube: 1.6
FAM71B	MGC26988	ENSG00000170613	Family with sequence similarity 71, member B	5	156588857-156593275	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039478, HPA040771	Supportive			Tissue enriched	202	testis: 20.2	adipose tissue: 0.0
TMCO5A	MGC35118, TMCO5	ENSG00000166069	Transmembrane and coiled-coil domains 5A	15	38214140-38259925	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA056530	Supportive			Tissue enriched	202	testis: 101.8	stomach: 0.5
AC008132.13		ENSG00000161103	Uncharacterized protein 	22	18834324-18848562		Evidence at transcript level	Evidence at transcript level			HPA052084, HPA053850	Uncertain			Tissue enriched	201	testis: 134.0	prostate: 0.7
CGB8		ENSG00000213030	Chorionic gonadotropin, beta polypeptide 8	19	49550895-49552400	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA038925, HPA038934	Supportive	Supportive	Cytoplasm	Tissue enriched	201	placenta: 24.3	cerebral cortex: 0.1
CSN3	CSN10	ENSG00000171209	Casein kappa	4	71108305-71117145	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA035953	Uncertain			Tissue enriched	201	salivary gland: 48.9	tonsil: 0.2
FAM71E2	C19orf16, DKFZp434G1729	ENSG00000180043	Family with sequence similarity 71, member E2	19	55866276-55874628		Evidence at transcript level	Evidence at transcript level	No evidence		HPA053781	Uncertain			Tissue enriched	201	testis: 20.1	adipose tissue: 0.0
KLK2		ENSG00000167751	Kallikrein-related peptidase 2	19	51364824-51383823	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA000764	Uncertain			Tissue enriched	200	prostate: 3251.8	testis: 16.3
SEPT14	FLJ44060	ENSG00000154997	Septin 14	7	55861237-55930482	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA058456	Uncertain			Tissue enriched	199	testis: 19.9	adipose tissue: 0.0
TMEM239		ENSG00000198326	Transmembrane protein 239	20	2795614-2800930	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	198	testis: 34.5	placenta: 0.2
LCE1E	LEP5	ENSG00000186226	Late cornified envelope 1E	1	152758690-152760902		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	196	skin: 36.1	rectum: 0.2
RNF133		ENSG00000188050	Ring finger protein 133	7	122337766-122339210	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA014421	Uncertain			Tissue enriched	196	testis: 27.6	adipose tissue: 0.1
DNAJB8	MGC33884	ENSG00000179407	DnaJ (Hsp40) homolog, subfamily B, member 8	3	128181282-128186091	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA034733	Uncertain			Tissue enriched	195	testis: 19.5	adipose tissue: 0.0
C11orf94		ENSG00000234776	Chromosome 11 open reading frame 94	11	45928085-45928833	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No evidence						Tissue enriched	192	testis: 19.2	bone marrow: 0.1
CGB5	HCG	ENSG00000189052	Chorionic gonadotropin, beta polypeptide 5	19	49547141-49548568	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA038925, HPA038934	Uncertain	Supportive	Cytoplasm	Tissue enriched	192	placenta: 27.2	smooth muscle: 0.1
MS4A3	CD20L, HTM4	ENSG00000149516	Membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)	11	59824060-59838601	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA019210	Uncertain			Tissue enriched	192	bone marrow: 344.2	spleen: 1.8
VCX3A	VCX-8r, VCX-A, VCX3	ENSG00000169059	Variable charge, X-linked 3A	X	6451659-6453159		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA044996, HPA049357	Supportive			Tissue enriched	191	testis: 19.1	skeletal muscle: 0.1
CXorf27	HIP17, HYPM	ENSG00000187516	Chromosome X open reading frame 27	X	37850070-37850569		Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA003356	Uncertain			Tissue enriched	190	testis: 19.0	smooth muscle: 0.1
CYLC1		ENSG00000183035	Cylicin, basic protein of sperm head cytoskeleton 1	X	83116154-83141705	Cytoskeleton related proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA000696	Uncertain			Tissue enriched	188	testis: 18.8	adipose tissue: 0.0
MYH4	MYH2B, MyHC-2B, MyHC-IIb	ENSG00000264424	Myosin, heavy chain 4, skeletal muscle	17	10346607-10372876	Plasma proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001349	Supportive			Tissue enriched	188	skeletal muscle: 27.4	prostate: 0.1
PNLIP	PL	ENSG00000175535	Pancreatic lipase	10	118305443-118327367	Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA062430, HPA062494	Supportive			Tissue enriched	187	pancreas: 33795.0	ovary: 181.0
RNF148	MGC35222	ENSG00000235631	Ring finger protein 148	7	122341718-122343021	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA045587	Uncertain			Tissue enriched	186	testis: 33.4	smooth muscle: 0.2
CPB1		ENSG00000153002	Carboxypeptidase B1 (tissue)	3	148508889-148577974	Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB026158, HPA038069, HPA046340	Supportive			Tissue enriched	185	pancreas: 21481.3	adrenal gland: 115.8
PRKACG	PKACg	ENSG00000165059	Protein kinase, cAMP-dependent, catalytic, gamma	9	71627469-71629039	Enzymes, Protein evidence (Kim et al 2014), RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004530	Uncertain			Tissue enriched	185	testis: 18.5	adipose tissue: 0.0
SELM		ENSG00000198832	Selenoprotein M 	22	31500758-31516055	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB008667, HPA019601	Supportive	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	185	adrenal gland: 39078.6	smooth muscle: 211.5
SLC25A47	C14orf68	ENSG00000140107	Solute carrier family 25, member 47	14	100789674-100796715	Mitochondrial proteins, Predicted membrane proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	183	liver: 106.6	duodenum: 0.6
SPERT	CBY2, NURIT	ENSG00000174015	Spermatid associated	13	46276446-46288694	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA039359, HPA040046	Supportive	Uncertain	Plasma membrane, Cell Junctions	Tissue enriched	183	testis: 31.5	fallopian tube: 0.2
TEX19	FLJ35767	ENSG00000182459	Testis expressed 19	17	80317123-80321652		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA054577	Supportive			Tissue enriched	182	testis: 18.2	urinary bladder: 0.1
SLCO6A1	CT48, MGC26949, OATP6A1, OATPY	ENSG00000205359	Solute carrier organic anion transporter family, member 6A1	5	101707486-101834720	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA054126	Supportive			Tissue enriched	181	testis: 28.6	placenta: 0.2
FGB		ENSG00000171564	Fibrinogen beta chain	4	155484108-155492238	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001900, HPA001901, CAB008624	Supportive			Tissue enriched	180	liver: 4244.6	kidney: 23.5
APOH	B2G1, BG	ENSG00000091583	Apolipoprotein H (beta-2-glycoprotein I)	17	64208151-64252643	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001654, HPA003732, CAB022214	Supportive			Tissue enriched	179	liver: 3572.9	kidney: 20.0
AQP12B	INSSA3	ENSG00000185176	Aquaporin 12B	2	241615835-241622323	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA042216	Supportive			Tissue enriched	179	pancreas: 167.9	duodenum: 0.9
